City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Soyo,AO,2021-10-18 15:04:11,-6.1349,12.3689,77.7,77,99,8.84
130,Arraial Do Cabo,BR,2021-10-18 14:56:09,-22.9661,-42.0278,73.26,83,75,4.61
131,Manga,BF,2021-10-18 15:04:11,11.6636,-1.0731,93.15,37,99,2.13
132,Wawa,NG,2021-10-18 15:04:11,9.9022,4.4192,88.34,53,73,3.13
133,San Cristobal,VE,2021-10-18 14:59:06,7.7669,-72.225,75.38,45,9,6.13
134,Khatanga,RU,2021-10-18 14:57:09,71.9667,102.5,31.77,98,100,12.55
135,Beyneu,KZ,2021-10-18 15:02:58,45.3167,55.2,61.14,23,81,6.73
136,Comodoro Rivadavia,AR,2021-10-18 15:02:57,-45.8667,-67.5,64.36,42,28,12.12
137,Bambous Virieux,MU,2021-10-18 14:58:00,-20.3428,57.7575,75.45,73,75,13.8
138,Tocopilla,CL,2021-10-18 15:00:53,-22.092,-70.1979,66.34,63,53,7.16
139,Coalinga,US,2021-10-18 15:02:20,36.1397,-120.3602,50.31,69,24,3.09
140,La Quinta,US,2021-10-18 15:04:13,33.6634,-116.31,67.24,46,1,3.0
141,Tautira,PF,2021-10-18 14:58:09,-17.7333,-149.15,75.22,75,76,21.03
142,Tuktoyaktuk,CA,2021-10-18 14:57:05,69.4541,-133.0374,24.8,100,90,9.22
143,Gizo,SB,2021-10-18 15:02:58,-8.103,156.8419,81.59,76,42,5.28
144,Parkes,AU,2021-10-18 14:58:45,-33.1333,148.1833,57.34,65,69,6.31
145,Ponta Delgada,PT,2021-10-18 14:58:08,37.7333,-25.6667,72.32,88,40,10.36
146,Thompson,CA,2021-10-18 14:56:36,55.7435,-97.8558,32.16,100,75,0.0
147,Pacific Grove,US,2021-10-18 14:53:10,36.6177,-121.9166,51.91,89,20,1.01
148,Pokhara,NP,2021-10-18 15:04:12,28.2333,83.9833,68.59,90,100,3.6
149,Todos Santos,MX,2021-10-18 14:56:48,23.45,-110.2167,80.01,82,100,7.0
150,Atambua,ID,2021-10-18 15:01:32,-9.1061,124.8925,77.47,85,43,0.45
