City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Klamath Falls,US,42.2249,-121.7817,50.86,62,1,1.01,clear sky
169,Belaya Gora,RU,68.5333,146.4167,0.57,86,29,4.23,scattered clouds
170,General Roca,AR,-39.0333,-67.5833,66.6,16,9,1.61,clear sky
171,Sao Filipe,CV,14.8961,-24.4956,80.28,70,0,6.91,clear sky
172,Kavaratti,IN,10.5669,72.642,81.32,76,100,10.69,overcast clouds
173,Constitucion,CL,-35.3333,-72.4167,56.82,73,0,8.95,clear sky
174,Lompoc,US,34.6391,-120.4579,65.57,65,1,16.11,clear sky
175,Rabo De Peixe,PT,37.8,-25.5833,69.31,78,20,16.11,few clouds
176,Skofja Loka,SI,46.1655,14.3063,48.76,95,75,2.3,broken clouds
177,Sunrise Manor,US,36.2111,-115.0731,66.29,31,1,12.66,clear sky
178,Tiksi,RU,71.6872,128.8694,18.12,90,100,13.71,overcast clouds
179,Port Said,EG,31.2565,32.2841,71.58,73,0,9.22,clear sky
180,Leningradskiy,RU,69.3833,178.4167,10.24,88,100,4.41,overcast clouds
181,Moreira Sales,BR,-24.0622,-53.0069,65.19,92,100,11.54,overcast clouds
182,Seoul,KR,37.5683,126.9778,54.84,90,75,9.22,mist
183,Darnah,LY,32.767,22.6367,69.26,68,100,6.33,overcast clouds
184,Castro,BR,-24.7911,-50.0119,55.09,98,100,7.47,overcast clouds
185,Mumford,GH,5.2618,-0.759,77.38,88,100,9.62,light rain
186,Pagudpud,PH,18.5616,120.7868,82.36,76,99,13.04,overcast clouds
187,Talnakh,RU,69.4865,88.3972,32.77,96,100,10.94,light snow
188,Santa Cruz Del Sur,CU,20.7147,-77.9956,76.91,78,28,13.4,light rain
189,Estevan,CA,49.1334,-102.9842,53.8,54,1,13.8,clear sky
190,Pestravka,RU,52.405,49.9583,43.2,73,100,6.33,overcast clouds
191,Mweka,CD,-4.85,21.5667,68.76,99,100,1.01,light rain
192,Rawson,AR,-43.3002,-65.1023,68.23,35,12,10.16,few clouds
193,Hoquiam,US,46.9809,-123.8893,54.52,51,64,2.42,broken clouds
194,Bambanglipuro,ID,-7.95,110.2833,82.51,73,78,3.62,broken clouds
195,Dhidhdhoo,MV,6.8833,73.1,82.22,71,71,13.51,broken clouds
196,Sechelt,CA,49.4664,-123.7694,54.81,89,100,3.78,overcast clouds
197,Aripuana,BR,-9.1667,-60.6333,72.16,92,57,2.3,broken clouds
198,Champerico,GT,14.3,-91.9167,83.35,80,100,4.09,overcast clouds
199,Grand Gaube,MU,-20.0064,57.6608,73.38,81,98,4.0,light rain
